Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Israel [Europe];null;null;2015;Both sexes;81.93443;null;;18.82043;3.91499;;57.65585;
Haiti [Americas];null;null;2000;Male;56.96631;null;143;12.09939;111.10544;96.51851;337.6722;
Burundi [Africa];null;null;2010;Male;56.85909;null;136;11.03197;97.22368;85.69375;347.016;
Slovakia [Europe];null;null;2015;Both sexes;77.01103;null;;15.9565;6.24273;;106.5601;
Democratic People's Republic of Korea [South-East Asia];null;null;2015;Female;74.78136;null;19;15.4418;18.8157;;99.30954;
Malta [Europe];null;null;2010;Female;82.54498;null;6;18.87888;6.12057;;41.30854;
Australia [Western Pacific];null;null;2015;Female;84.16809;null;4;19.38109;3.52332;;45.54135;
Rwanda [Africa];null;null;2010;Female;66.51296;null;97;13.93765;59.33681;55.37714;218.8784;
Venezuela (Bolivarian Republic of) [Americas];null;null;2010;Male;70.82234;null;19;15.30407;18.85008;;220.4309;
Papua New Guinea [Western Pacific];null;null;2015;Male;62.56906;null;54;11.56694;54.71659;;257.3091;
Romania [Europe];null;null;2015;Both sexes;74.82143;null;;15.41746;9.16238;;135.929;
Republic of Korea [Western Pacific];null;null;2000;Both sexes;76.21414;null;;15.93528;7.54682;;113.5557;
Democratic People's Republic of Korea [South-East Asia];null;null;2015;Both sexes;71.75806;null;;14.50752;21.1;;133.8408;
Qatar [Eastern Mediterranean];null;null;2000;Both sexes;71.29387;null;;11.61141;12.47898;;73.89966;
Uganda [Africa];null;null;2019;Male;63.24249;null;51;11.97462;49.88697;;;
Bosnia and Herzegovina [Europe];null;null;2000;Both sexes;75.41919;null;;14.97276;9.89473;;128.2534;
Ukraine [Europe];null;null;2010;Both sexes;70.1993;null;;13.63789;11.73133;;217.5392;
Indonesia [South-East Asia];null;null;2019;Both sexes;71.30966;null;;13.35263;23.80465;;;
Libya [Eastern Mediterranean];null;null;2019;Female;77.3446;null;10;15.77748;10.31724;;;
Japan [Western Pacific];null;null;2010;Female;85.76836;null;3;21.33821;2.98878;;40.99446;
Sierra Leone [Africa];null;null;2000;Male;46.76562;null;237;10.72916;234.56791;;548.3989;
Mongolia [Western Pacific];null;null;2019;Male;63.82064;null;18;10.9634;17.83681;;;
India [South-East Asia];null;null;2019;Female;72.16656;null;35;13.47475;34.86773;;;
Timor-Leste [South-East Asia];null;null;2000;Male;61.94714;null;114;12.42783;113.56987;;298.7488;
Romania [Europe];null;null;2015;Female;78.42323;null;8;16.9813;8.18237;;79.40315;
Gambia [Africa];null;null;2010;Male;60.59109;null;78;11.74253;79.18383;;306.5395;
Mali [Africa];null;null;2015;Male;60.35869;null;123;12.56367;114.07294;67.65939;287.5845;
C\u00f4te d'Ivoire [Africa];null;null;2010;Male;54.8072;null;;10.75251;116.21185;;428.2927;
Belgium [Europe];null;null;2000;Both sexes;77.66169;null;;16.5692;5.80374;;99.34914;
Mauritius [Africa];null;null;2019;Both sexes;74.07175;null;;14.49508;15.98304;;;
Serbia [Europe];null;null;2015;Male;72.69195;null;7;13.49232;6.89202;;140.2634;
Eritrea [Africa];null;null;2000;Female;58.48181;null;76;11.27749;76.21429;;444.4089;
Tajikistan [Europe];null;null;2019;Male;67.57883;null;38;12.06178;37.25541;;;
Kyrgyzstan [Europe];null;null;2019;Male;70.74789;null;20;14.16425;20.35723;;;
Papua New Guinea [Western Pacific];null;null;2019;Both sexes;65.30473;null;;12.28116;45.30522;;;
Latvia [Europe];null;null;2019;Both sexes;75.37604;null;;15.63745;4.11176;;;
null;Upper-middle-income;null;2010;Both sexes;73.73109;null;;14.98771;;;;
Barbados [Americas];null;null;2019;Female;77.66379;null;11;16.92375;11.47143;;;
Peru [Americas];null;null;2010;Male;75.61166;null;30;17.25357;21.65089;22.87972;163.1237;
Zambia [Africa];null;null;2019;Both sexes;62.4529;null;;12.58347;64.08917;;;
Burkina Faso [Africa];null;null;2019;Female;65.22655;null;83;13.39886;82.89052;;;
Mongolia [Western Pacific];null;null;2000;Male;57.34036;null;73;9.32309;71.11395;;327.5515;
Saudi Arabia [Eastern Mediterranean];null;null;2019;Female;76.14821;null;6;14.38164;7.11055;;;
El Salvador [Americas];null;null;2010;Female;78.04059;null;17;17.11568;17.34575;;112.9334;
Guinea-Bissau [Africa];null;null;2015;Both sexes;58.23238;null;;11.02195;92.08197;;278.1969;
Armenia [Europe];null;null;2015;Female;77.83168;null;11;16.21935;12.54166;9.44327;69.00208;
Germany [Europe];null;null;2015;Female;82.71346;null;4;18.69732;3.60755;;49.87416;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2010;Female;82.09373;null;;18.55684;4.65305;;56.99188;
Uzbekistan [Europe];null;null;2000;Both sexes;65.26546;null;;12.61373;60.65721;;182.7754;
Morocco [Eastern Mediterranean];null;null;2015;Female;73.55218;null;23;14.32097;21.10622;;65.9325;
Albania [Europe];null;null;2019;Male;76.25368;null;10;15.90517;10.45989;;;
null;Low-income;null;2000;Female;55.33836;null;;12.09082;;;;
Solomon Islands [Western Pacific];null;null;2015;Female;67.40598;null;20;12.09;20.5588;;129.3336;
C\u00f4te d'Ivoire [Africa];null;null;2000;Female;52.30949;null;;12.2052;131.39845;;439.9925;
Togo [Africa];null;null;2019;Both sexes;64.27029;null;;12.77662;66.50347;;;
null;null;South-East Asia;2010;Both sexes;68.11418;null;;13.06748;52.41808;;186.8253;
Samoa [Western Pacific];null;null;2015;Female;71.48901;null;15;13.45346;16.66337;;82.00268;
Austria [Europe];null;null;2000;Female;80.98243;null;5;18.02673;4.93586;;62.45588;
Pakistan [Eastern Mediterranean];null;null;2015;Both sexes;64.18282;null;;12.31937;76.01658;;166.0414;
null;null;Americas;2019;Both sexes;77.15873;null;;16.55026;13.59849;;;
Jamaica [Americas];null;null;2019;Female;77.68497;null;12;17.32501;12.03313;;;
Lithuania [Europe];null;null;2000;Both sexes;72.03902;null;;14.66995;10.72031;;200.0203;
Myanmar [South-East Asia];null;null;2019;Female;72.20418;null;40;14.58056;40.74669;;;
Saudi Arabia [Eastern Mediterranean];null;null;2000;Male;69.58871;null;23;12.27039;22.9417;;125.9541;
Belize [Americas];null;null;2015;Female;77.29343;null;15;17.52;13.81638;12.09394;134.6422;
Colombia [Americas];null;null;2019;Male;76.6921;null;15;17.07937;15.0574;;;
Burundi [Africa];null;null;2015;Male;59.83564;null;72;11.50195;72.82632;;328.3582;
Panama [Americas];null;null;2000;Male;74.59988;null;29;16.66686;28.67697;;152.214;
Senegal [Africa];null;null;2000;Both sexes;58.59945;null;;11.96006;129.54607;;250.4469;
Cuba [Americas];null;null;2010;Both sexes;77.65455;null;;16.40417;6.36862;;97.35108;
Solomon Islands [Western Pacific];null;null;2000;Female;65.24473;null;28;11.58601;28.05171;;215.0645;
Cabo Verde [Africa];null;null;2019;Male;69.8988;null;16;13.0069;16.31737;;;
Micronesia (Federated States of) [Western Pacific];null;null;2000;Male;58.45256;null;57;10.75047;42.67509;;196.006;
Djibouti [Eastern Mediterranean];null;null;2015;Both sexes;64.64274;null;;13.39933;65.83443;;247.6182;
Vanuatu [Western Pacific];null;null;2015;Both sexes;64.63885;null;;11.87038;28.21718;;131.6388;
North Macedonia [Europe];null;null;2015;Male;71.66879;null;14;12.81554;12.17946;;125.6552;
Vanuatu [Western Pacific];null;null;2010;Male;61.89898;null;32;11.3286;31.30905;;170.4476;
Namibia [Africa];null;null;2010;Both sexes;60.93765;null;;12.11467;49.10535;;327.5516;
South Africa [Africa];null;null;2019;Female;68.28989;null;31;14.772;30.31077;;;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2015;Both sexes;76.66063;null;;15.48729;15.45335;;81.6826;
Rwanda [Africa];null;null;2010;Both sexes;64.43977;null;;13.07393;63.84369;;239.132;
Egypt [Eastern Mediterranean];null;null;2015;Both sexes;70.4922;null;;12.84039;23.30325;;165.6337;
Singapore [Western Pacific];null;null;2019;Male;81.04722;null;3;18.80689;2.58773;;;
null;null;Western Pacific;2000;Female;75.32539;null;;15.83537;32.54904;;90.42357;
Congo [Africa];null;null;2000;Male;51.54181;null;120;9.61768;120.39073;;431.8781;
Greece [Europe];null;null;2000;Female;80.89335;null;6;17.69952;5.87704;;48.32218;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2015;Male;78.93338;null;;17.14032;4.88684;;83.91637;
Botswana [Africa];null;null;2019;Female;65.45545;null;38;13.05307;41.70325;;;
Czechia [Europe];null;null;2010;Female;80.65443;null;3;17.18355;2.96701;;60.14576;
Philippines [Western Pacific];null;null;2010;Both sexes;69.96309;null;;13.58653;31.67784;;203.1458;
Turkey [Europe];null;null;2010;Male;74.6453;null;19;15.10164;19.01975;;155.2442;
Guinea [Africa];null;null;2015;Both sexes;58.81324;null;;11.8519;107.29504;;277.0878;
Bulgaria [Europe];null;null;2019;Female;78.59532;null;6;16.86057;5.92995;;;
Congo [Africa];null;null;2015;Male;62.56468;null;58;11.75733;56.87772;;294.1917;
Niger [Africa];null;null;2015;Male;60.2756;null;98;12.49067;97.81674;;271.5664;
Dominican Republic [Americas];null;null;2019;Female;76.19289;null;25;17.19991;31.20061;;;
Mexico [Americas];null;null;2019;Male;73.12539;null;15;15.2621;15.45784;;;
Philippines [Western Pacific];null;null;2019;Male;67.40279;null;30;12.11595;29.90868;;;
Italy [Europe];null;null;2000;Female;82.14725;null;5;18.36706;5.15178;;50.29348;
Iraq [Eastern Mediterranean];null;null;2000;Female;71.25191;null;40;14.12465;40.74122;;114.9701;
Kuwait [Eastern Mediterranean];null;null;2000;Female;80.10001;null;11;17.10101;11.34494;;70.86617;
Viet Nam [Western Pacific];null;null;2019;Female;78.10517;null;17;16.4022;17.43141;;;
Mozambique [Africa];null;null;2010;Female;56.28635;null;100;12.7111;99.49117;;392.1731;
Egypt [Eastern Mediterranean];null;null;2000;Male;67.28972;null;69;13.06473;48.27491;54.9654;205.6809;
Congo [Africa];null;null;2010;Both sexes;60.95192;null;;11.6487;62.03462;;299.6522;
Papua New Guinea [Western Pacific];null;null;2015;Both sexes;64.48792;null;;12.15531;50.99565;;225.5147;
Uganda [Africa];null;null;2000;Both sexes;48.76083;null;;11.05942;146.11283;;536.1939;
Fiji [Western Pacific];null;null;2010;Female;69.52204;null;22;12.1823;21.8289;;149.1946;
Finland [Europe];null;null;2000;Both sexes;77.59772;null;;16.54343;4.28269;;104.2451;
Thailand [South-East Asia];null;null;2000;Male;67.51733;null;24;14.67782;24.39368;;265.4578;
Equatorial Guinea [Africa];null;null;2015;Both sexes;61.12561;null;;12.94235;93.17626;;300.9042;
Seychelles [Africa];null;null;2000;Both sexes;71.86977;null;;13.86494;13.75048;;188.4855;
Central African Republic [Africa];null;null;2010;Male;46.69299;null;154;8.18126;151.67734;;467.7;
United Arab Emirates [Eastern Mediterranean];null;null;2000;Male;72.1955;null;12;13.33952;12.40512;;113.4374;
Lithuania [Europe];null;null;2010;Male;67.48557;null;7;12.40633;6.56483;;281.1493;
null;Lower-middle-income;null;2000;Male;60.67618;null;;11.51442;;;;
Haiti [Americas];null;null;2010;Female;35.37344;null;201;9.19013;197.07877;;572.2306;
Bosnia and Herzegovina [Europe];null;null;2015;Male;73.94138;null;7;13.8878;6.8686;;122.5369;
Peru [Americas];null;null;2015;Female;80.55713;null;18;18.46177;14.12576;14.02186;95.89746;
Burkina Faso [Africa];null;null;2000;Male;49.92492;null;185;10.57411;185.09058;;363.2325;
Cambodia [Western Pacific];null;null;2019;Female;72.74578;null;23;14.08582;23.45705;;;
Oman [Eastern Mediterranean];null;null;2010;Female;72.54832;null;11;12.37037;10.55318;;76.15273;
Yemen [Eastern Mediterranean];null;null;2015;Male;65.41431;null;61;13.0136;64.67175;;269.1367;
Egypt [Eastern Mediterranean];null;null;2010;Both sexes;70.1955;null;;13.35815;28.67338;;177.9038;
Pakistan [Eastern Mediterranean];null;null;2019;Male;64.59088;null;72;12.52762;71.73699;;;
Saint Lucia [Americas];null;null;2010;Both sexes;75.1967;null;;16.67235;19.6518;;152.5792;
Austria [Europe];null;null;2010;Male;77.64973;null;5;16.338;4.75986;;99.80827;
Ghana [Africa];null;null;2010;Both sexes;61.99749;null;;12.09484;69.11598;;269.4608;
France [Europe];null;null;2010;Female;84.34424;null;4;20.59949;3.78045;;54.56902;
Jamaica [Americas];null;null;2000;Male;72.04784;null;25;15.44655;24.96797;;215.7684;
Yemen [Eastern Mediterranean];null;null;2019;Male;64.41312;null;62;12.77636;65.41796;;;
Benin [Africa];null;null;2000;Male;54.30958;null;145;11.09317;142.97145;;312.6576;
Suriname [Americas];null;null;2000;Male;67.13255;null;35;13.51952;34.71392;;267.4916;
Vanuatu [Western Pacific];null;null;2019;Female;68.32056;null;24;12.41074;23.48053;;;
Morocco [Eastern Mediterranean];null;null;2000;Female;70.58601;null;45;14.24548;47.90046;;138.5414;
Liberia [Africa];null;null;2015;Male;60.64907;null;97;12.37133;94.53593;;263.6817;
China [Western Pacific];null;null;2000;Both sexes;71.58401;null;;14.03164;36.69187;;110.3129;
Kiribati [Western Pacific];null;null;2010;Male;54.75263;null;70;9.20457;69.40146;;248.6131;
Comoros [Africa];null;null;2010;Male;63.60187;null;90;12.86339;90.50639;;270.3641;
Democratic Republic of the Congo [Africa];null;null;2000;Both sexes;52.44439;null;;11.16646;159.25222;;341.6957;
Lebanon [Eastern Mediterranean];null;null;2015;Male;73.47224;null;9;13.7003;8.68987;;109.6553;
Netherlands [Europe];null;null;2010;Female;82.49984;null;4;18.98336;3.97329;;54.70525;
C\u00f4te d'Ivoire [Africa];null;null;2019;Male;60.52891;null;;11.91463;88.20977;;;
Qatar [Eastern Mediterranean];null;null;2000;Female;71.73755;null;11;10.84542;11.44012;;67.03118;
Ethiopia [Africa];null;null;2010;Both sexes;62.91552;null;;12.98515;82.03373;;261.8929;
Russian Federation [Europe];null;null;2000;Female;72.25294;null;17;14.03356;16.66295;;161.1714;
Iraq [Eastern Mediterranean];null;null;2010;Female;72.79007;null;31;14.53534;31.65537;;117.0186;
Samoa [Western Pacific];null;null;2010;Both sexes;69.56606;null;;13.20411;19.34816;;133.8282;
Azerbaijan [Europe];null;null;2015;Female;73.42561;null;24;13.93332;23.60433;;77.81892;
Norway [Europe];null;null;2010;Female;82.85048;null;3;18.56501;2.91524;;50.16187;
Slovakia [Europe];null;null;2010;Female;79.12138;null;6;16.80853;6.25871;;68.08459;
Sao Tome and Principe [Africa];null;null;2000;Both sexes;63.45224;null;;12.62916;82.03136;;226.6226;
Mauritius [Africa];null;null;2015;Male;70.96014;null;16;13.19596;15.85763;;195.2732;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2019;Both sexes;81.40353;null;;18.25265;4.27786;;;
Germany [Europe];null;null;2015;Both sexes;80.42174;null;;17.72039;3.93256;;71.19309;
Fiji [Western Pacific];null;null;2019;Female;70.28452;null;23;12.62322;24.65086;;;
Albania [Europe];null;null;2000;Female;76.91914;null;24;16.71034;24.00077;;76.43061;
Iraq [Eastern Mediterranean];null;null;2019;Male;69.92992;null;28;13.31751;28.62689;;;
Micronesia (Federated States of) [Western Pacific];null;null;2015;Both sexes;62.74269;null;;11.22577;28.89227;;168.1938;
Viet Nam [Western Pacific];null;null;2015;Female;77.61496;null;18;16.23722;17.9252;;67.26175;
Rwanda [Africa];null;null;2010;Male;62.30572;null;107;12.06414;68.11377;66.72148;259.9307;
Oman [Eastern Mediterranean];null;null;2015;Male;71.40276;null;12;12.04748;12.24154;;110.5629;
Liberia [Africa];null;null;2015;Female;61.6759;null;84;12.31935;81.79416;;218.3024;
null;null;South-East Asia;2019;Female;73.10158;null;;14.12661;31.41145;;;
Australia [Western Pacific];null;null;2000;Both sexes;79.69334;null;;17.307;6.18573;;76.93143;
Antigua and Barbuda [Americas];null;null;2010;Both sexes;75.94979;null;;15.84776;10.02232;;134.6441;
Kenya [Africa];null;null;2015;Male;61.71071;null;54;11.66889;52.9757;;272.0475;
Philippines [Western Pacific];null;null;2019;Both sexes;70.42632;null;;13.41317;27.13394;;;
Syrian Arab Republic [Eastern Mediterranean];null;null;2000;Both sexes;71.45632;null;;13.40927;23.02677;;123.6954;
Costa Rica [Americas];null;null;2019;Female;83.43867;null;8;19.53589;7.61762;;;
Afghanistan [Eastern Mediterranean];null;null;2010;Female;60.2972;null;84;10.71348;84.00287;;232.601;
Micronesia (Federated States of) [Western Pacific];null;null;2010;Male;60.01329;null;43;10.9307;37.4428;;185.1768;
France [Europe];null;null;2015;Both sexes;81.9132;null;;19.4779;4.15907;;73.08247;
United States of America [Americas];null;null;2015;Female;80.79853;null;6;17.25869;6.15433;;82.73055;
null;null;South-East Asia;2019;Both sexes;71.44355;null;;13.72848;31.86697;;;
Bolivia (Plurinational State of) [Americas];null;null;2000;Male;64.81239;null;80;13.34274;79.99823;;274.0911;
Somalia [Eastern Mediterranean];null;null;2015;Both sexes;54.56641;null;;10.94979;134.30022;;307.2982;
Republic of Moldova [Europe];null;null;2010;Male;64.62362;null;19;11.1775;19.04179;;314.5801;
Sri Lanka [South-East Asia];null;null;2015;Both sexes;76.26894;null;;15.2486;8.72017;;131.11;
Pakistan [Eastern Mediterranean];null;null;2010;Male;61.52513;null;92;11.85599;91.86882;;195.1653;
Tonga [Western Pacific];null;null;2019;Male;69.80632;null;12;13.27929;13.02038;10.50585;;
Denmark [Europe];null;null;2000;Male;74.66221;null;6;15.05874;6.25752;;121.4772;
Republic of Korea [Western Pacific];null;null;2019;Both sexes;83.3047;null;;19.81401;3.13794;;;
Ireland [Europe];null;null;2010;Both sexes;80.41316;null;;17.91768;4.17373;;65.12171;
Zambia [Africa];null;null;2019;Male;59.53606;null;66;11.27271;68.9751;;;
Mauritius [Africa];null;null;2000;Female;74.80077;null;16;14.10056;16.4512;;120.6474;
null;null;Global;2015;Female;74.88831;null;;16.44589;40.45618;;113.6557;
Croatia [Europe];null;null;2015;Female;80.73349;null;4;17.30105;4.43093;;58.60517;
Kenya [Africa];null;null;2019;Both sexes;66.08511;null;;13.05994;42.99964;;;
Brunei Darussalam [Western Pacific];null;null;2000;Male;70.8608;null;11;12.19992;11.19589;;123.5975;
Grenada [Americas];null;null;2000;Female;75.95189;null;14;16.23228;14.3061;;133.1542;
Poland [Europe];null;null;2010;Male;72.07534;null;6;13.90576;6.47527;;189.467;
Israel [Europe];null;null;2000;Both sexes;78.57471;null;;17.08817;6.8911;;80.02465;
North Macedonia [Europe];null;null;2019;Both sexes;74.8186;null;;14.01702;6.79225;;;
Ecuador [Americas];null;null;2015;Both sexes;77.18231;null;;17.12249;15.36569;;116.9884;
Qatar [Eastern Mediterranean];null;null;2019;Male;78.02834;null;7;15.08507;6.58161;;;
Botswana [Africa];null;null;2019;Both sexes;62.24785;null;;11.78872;45.94865;;;
Sudan [Eastern Mediterranean];null;null;2015;Female;69.7097;null;60;13.87173;60.28305;;197.2511;
Canada [Americas];null;null;2019;Male;80.3959;null;5;18.2056;5.45918;;;
Serbia [Europe];null;null;2010;Male;71.63239;null;8;13.15566;8.41485;;153.5668;
Mali [Africa];null;null;2015;Both sexes;60.88689;null;;12.48511;108.31459;;277.4914;
null;Lower-middle-income;null;2000;Both sexes;62.1806;null;;12.08062;;;;
null;null;Africa;2010;Male;57.68559;null;;11.70243;105.47159;;346.3461;
Mauritania [Africa];null;null;2015;Both sexes;67.40752;null;;14.19491;82.67768;;203.9544;
null;Low-income;null;2010;Male;58.18198;null;;11.65117;;;;
Ireland [Europe];null;null;2019;Female;83.47723;null;3;19.15464;2.87338;;;
Mongolia [Western Pacific];null;null;2010;Both sexes;65.0518;null;;11.61583;26.29356;;233.8446;
South Sudan [Africa];null;null;2010;Male;59.20235;null;105;11.67673;113.08655;73.81768;365.6084;
China [Western Pacific];null;null;2000;Female;74.15446;null;35;14.87292;34.69732;;93.18125;
Madagascar [Africa];null;null;2000;Male;57.53505;null;113;11.05011;111.5702;;300.4405;
Turkmenistan [Europe];null;null;2015;Both sexes;69.11091;null;;14.23562;42.19019;;198.1752;
Cambodia [Western Pacific];null;null;2010;Both sexes;67.21539;null;;12.83355;43.81919;;196.3408;
